year,zipcode,agg_count_log,price_log,person_capacity,review_rating_location,review_length_log,crime_words_perc_old,sentiment_neg_avg,lda2,lda3,lda4,lda5,lda_pca1,lda_pca2,d2v_pca1,d2v_pca2,crime_score,crime_score_log,race_index,gini_index,edu_bachelors,age_25_34,square_feet_log,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,listings_count_log,gentrifying,non_gentrifying,higher_income,crime_score_norm,gentrification_score
2012,10001,7.453561871643371,5.1642200995610965,3.049,9.736,3.467075584735161,0.025792188651436992,0.01938666666666667,0.1845908372739176,0.2909376262976327,0.14100759344967867,0.1921243487202708,-0.09712564697554138,-0.031152530359052997,0.0570947606450193,0.03211871879520733,15900.0,9.674137279312395,0.5579772752244025,0.6016659341112245,0.6799413922429085,0.2256373628787696,6.284039007290094,1,0,0,0,0,0,3.737669618283368,0,0,1,0.5325567301865194,0.4833421367643961
2013,10001,7.8079166289264075,5.272543044120472,3.12,9.738999999999999,3.4171198288030897,0.028002947678703014,0.018775518503456688,0.1791547719210289,0.2907923616402194,0.142961206751177,0.1833440948862963,-0.10760999462166812,-0.01948011244724401,0.057268958590346426,0.031916898905854516,16208.0,9.693321922512176,0.5609964344184846,0.6045683848496992,0.6813865867257118,0.22493053758516907,6.173700683587059,0,1,0,0,0,0,3.951243718581428,0,0,1,0.5429264022624739,0.4813925344959243
2014,10001,7.935945103353701,5.320548415389358,3.2569999999999997,9.658,3.4139246322745853,0.030950626381724394,0.017505545617173518,0.18884372391852,0.30988436733934505,0.13620406861397666,0.17222045494394167,-0.12334760339998392,-0.04114693389402091,0.051405900128131066,0.043253787644985886,15036.0,9.61826910952232,0.5617162750568241,0.6066129445389379,0.6834760800004004,0.2250844553671777,6.6188204221235685,0,0,1,0,0,0,3.912023005428147,0,0,1,0.5034677799474783,0.48999788498044267
2015,10001,8.485496104672983,5.276312015035156,3.1889999999999996,9.648,3.3202830482195016,0.030950626381724394,0.016212265124922562,0.1755150550576845,0.3217177277740371,0.12918238017895134,0.17540638766048072,-0.128501965176071,-0.04429663255253792,0.04422534603836308,0.050870773688784746,14699.0,9.595602772766828,0.5592434930149466,0.6077017955540214,0.6867870163917543,0.2266485032252968,6.597160708595332,0,0,0,1,0,0,4.262679877041316,0,0,1,0.49212174264359304,0.49395441590250655
2016,10001,8.803273982501045,5.2086497375699015,3.135,9.64,3.2235291436514513,0.0449521002210759,0.01805589782118708,0.15869171182845376,0.3233112220909536,0.14414878921828225,0.1589854961103478,-0.14388619033475256,-0.023252805233923767,0.032751782756000984,0.06705639812963995,13025.0,9.474702639106347,0.5526847850997001,0.6077371200371999,0.6918965396285057,0.2301720688678324,6.2228857439882805,0,0,0,0,1,0,4.060443010546419,0,0,1,0.4357619015554508,0.5082718083756774
2017,10001,8.704502289721233,5.2957290196665,3.592,9.77,3.022166972925332,0.03758290346352248,0.018123901144468404,0.18517003391392545,0.33862161514232714,0.15862371124771762,0.1298467916602048,-0.16425197249589812,-0.04710061942134496,0.03656192687393276,0.06232152789503484,12492.0,9.432923766431827,0.5411468481179327,0.6066211002471391,0.6993817937374115,0.2362045394442976,6.272971341719106,0,0,0,0,0,1,3.6635616461296463,0,0,1,0.4178169820214127,0.5166487206579006
2012,10002,8.305484017727691,5.042553769664528,2.9819999999999998,9.232999999999999,3.4563595728131253,0.03168754605747973,0.019347095179233626,0.21991180337258007,0.29291236358091355,0.14260981150863195,0.18863486170328408,-0.09097934531670204,-0.06282520371960085,0.1042297216055218,0.006354532151204034,14647.0,9.592059086354347,0.6856535936240107,0.5648959705722518,0.3094908428192139,0.17718315012753014,6.436344259827673,1,0,0,0,0,0,4.127134385045092,1,0,0,0.4903710187866137,0.3751090702216743
2013,10002,8.8023721336499,5.115325585203777,3.068,9.269,3.4507249429963114,0.04200442151805453,0.020048127537975642,0.21602891837291546,0.2955756011555166,0.14047674611269662,0.18765738380696875,-0.09468931230629554,-0.061005989959038234,0.0928872947842585,0.002149935368758396,14349.0,9.571505221187769,0.688611526042223,0.5670552253141068,0.3190592950582505,0.17815860465168953,6.728967072547246,0,1,0,0,0,0,4.454347296253506,1,0,0,0.4803380243754629,0.3790647149212722
2014,10002,9.087946723762117,5.117634466422591,3.011,9.282,3.426330081523697,0.03831982313927782,0.018919294676161408,0.21216019940930286,0.29177387543852723,0.14603723324201145,0.18146064767449466,-0.09939650118638446,-0.04958835507062612,0.08424870888775897,0.02283280480260426,14192.0,9.560504164299259,0.6907376735471189,0.5689420081325807,0.3273364073038101,0.17968032538890846,6.764465571353937,0,0,1,0,0,0,4.564348191467836,1,0,0,0.4750521850380446,0.38203377644802716
2015,10002,9.510667161961043,5.143784113548994,3.057,9.37,3.3579690437008236,0.04568901989683125,0.01837416679010517,0.1985877413687112,0.3126215215131132,0.13570366603369108,0.16887132229906082,-0.12528827738374826,-0.05009108114491708,0.07764568443775291,0.05118237250224818,14302.0,9.5682245844549,0.6916366920340806,0.5704205990186892,0.3331468349695205,0.1818794374167919,6.592129046718526,0,0,0,1,0,0,4.709530201312334,1,0,0,0.47875563935088544,0.38301090800400717
2016,10002,9.61826910952232,5.1072355504847335,3.0469999999999997,9.43,3.258275579434238,0.04568901989683125,0.018106677307794628,0.1936222125241049,0.31697452446542657,0.1398478745616953,0.1673822297187647,-0.12668024383624407,-0.05132105946818995,0.07934588049359748,0.05321630783132954,15627.0,9.656819456174961,0.6909132362343371,0.5713552787783556,0.3353152334690093,0.18488706670701505,6.604569644994196,0,0,0,0,1,0,4.605170185988092,1,0,0,0.523365429937378,0.37545578255653295
2017,10002,9.593628035139645,5.100433340269698,3.1060000000000003,9.512,3.071768223338473,0.04421518054532056,0.0183548738922972,0.20873314761064327,0.3221976139821289,0.1498068798936709,0.14947425818079432,-0.13858765320198593,-0.05975863816059436,0.07324502708500068,0.04839373259742808,15063.0,9.620063070336988,0.6881719625089318,0.5716103272861801,0.3326662588119507,0.18883433923125267,6.637140068888111,0,0,0,0,0,1,4.4067192472642525,1,0,0,0.5043768096424484,0.38011243063560063
2012,10003,8.253748343328501,5.175991527969745,3.219,9.763,3.4837243340691697,0.03389830508474576,0.016329601666232752,0.2138804523269453,0.3176785328296231,0.11996507844981025,0.19471149640732469,-0.10042506170093517,-0.08628980570429688,0.10486141540267097,0.0021591060328576364,12221.0,9.410992885454863,0.3787557544419542,0.549850549607072,0.7824761904776095,0.2763882786035537,6.416724112544311,1,0,0,0,0,0,4.382026634673881,1,0,0,0.408693017305232,0.5642532493882098
2013,10003,8.623353387244627,5.213668650820313,3.199,9.791,3.4552077944338646,0.03242446573323508,0.017106134196797986,0.20893790204342846,0.3221740863601988,0.12321957593010847,0.1843152162594625,-0.11237516787890656,-0.08024745457683485,0.09377662383974576,0.006907359273435372,12576.0,9.439625028047157,0.3782005332177505,0.5535791846341453,0.7884775516390798,0.2739532599225641,6.393985324926696,0,1,0,0,0,0,4.61512051684126,1,0,0,0.42064507440576393,0.5634328777144549
2014,10003,8.937612591306213,5.22956732271892,3.123,9.812999999999999,3.4465074504916537,0.04126750184229919,0.016565554387808726,0.21222987202036767,0.3208203222437434,0.11623736157429986,0.17860971018035773,-0.12182880154829667,-0.07382987894411104,0.08321651348570304,0.02614898953970352,11069.0,9.311994025702685,0.3775305320741609,0.5575494905351661,0.7939028780162335,0.2710832294821739,6.4083442600314005,0,0,1,0,0,0,4.691347882229144,1,0,0,0.3699077503198438,0.5750194631279137
2015,10003,9.384209641955154,5.2480708924739154,3.082,9.822000000000001,3.356707924243337,0.04716285924834193,0.015721045553874602,0.19321083141865664,0.33541014005188263,0.1139061102204538,0.16939957957910914,-0.14027880175501384,-0.067232247509527,0.06149231559000429,0.04940280159738264,11641.0,9.36237452783168,0.3765937152784318,0.5614628462935798,0.7983348645269872,0.2679964101687073,6.313662170199495,0,0,0,1,0,0,4.934473933130692,1,0,0,0.3891657127466164,0.5724069385928452
2016,10003,9.481359383531423,5.291886734282229,3.293,9.82,3.244300323317053,0.0449521002210759,0.01583762965222697,0.18362314629176726,0.3446069683521134,0.11804248103636605,0.15528126777524354,-0.1579128384285214,-0.060070863298172135,0.06933451527072826,0.05566066134575126,10996.0,9.305377787310935,0.3752380472724326,0.5650206296122633,0.8013562068343163,0.2649110260233283,6.347543313368112,0,0,0,0,1,0,4.820281565605037,1,0,0,0.36745000336677663,0.5777199623661398
2017,10003,9.243871855184977,5.322131544647291,3.3739999999999997,9.847999999999999,3.081883351514494,0.04421518054532056,0.014463056092843329,0.21061492979168034,0.3652271162708607,0.12090598391420428,0.13439683952760584,-0.17543606429147818,-0.09399098395423956,0.07334283862816926,0.046280487092143587,10273.0,9.237371711027214,0.3733114921487868,0.5679242191254161,0.8025495998561379,0.2620453006401658,6.428156967632718,0,0,0,0,0,1,4.4188406077965965,1,0,0,0.3431082082014679,0.583219883854293
2012,10004,4.356708826689592,5.3320905766549584,3.5580000000000003,10.0,3.408529741448608,0.006632277081798086,0.011935064935064936,0.2110178152510485,0.33191439373926684,0.10830809652515046,0.18281430778904006,-0.12221399223823096,-0.08871061098873756,0.12474151953478632,0.04253348747392921,181.0,5.204006687076795,0.3910372667014599,0.4788505500182509,0.8236520141363144,0.2914395605027676,7.373284538146849,1,0,0,0,0,0,2.079441541679836,0,0,1,0.0033331088815567976,0.6399143498148633
2013,10004,5.204006687076795,5.155335746569171,3.238,9.5,3.4368346881674534,0.013264554163596173,0.011303867403314918,0.2011593577776166,0.2693355934570919,0.12128870398094313,0.2709195408815755,-0.011238116761160476,-0.07545909550926333,0.111229253281235,-0.016997776950564036,82.0,4.4188406077965965,0.4026967454701662,0.4623224204406142,0.843759781718254,0.2860140799358487,6.741553104068066,0,1,0,0,0,0,2.6390573296152584,0,0,1,0.0,0.6378799073249102
2014,10004,5.278114659230517,5.132504783629826,2.8560000000000003,9.736,3.4349792680585747,0.010316875460574795,0.01483076923076923,0.19182011613276664,0.3048324061644062,0.11450493661686778,0.21130273289997706,-0.08915242871650074,-0.06148198632062962,0.11100634292503836,0.02450203627226084,86.0,4.465908118654584,0.4166745524853468,0.4494673330336809,0.8634356623888015,0.2830625395476818,9.283694081173678,0,0,1,0,0,0,2.8332133440562166,0,0,1,0.00013467106592148677,0.6358312622837792
2015,10004,5.899897353582492,5.4277039312286774,4.657,9.54,3.3259052767472164,0.010316875460574795,0.013013736263736263,0.20693082515581326,0.3152609360442797,0.12294344125012804,0.18198725527804088,-0.1152805078149245,-0.06700074482757093,0.13353828519615754,0.03739481389378237,133.0,4.897839799950911,0.43069395050406456,0.4420132730156183,0.8807031983137129,0.2830625434219837,9.392661928770137,0,0,0,1,0,0,3.1780538303479458,0,0,1,0.0017170560904989562,0.6346736016313502
2016,10004,6.159095388491932,5.298952165020847,4.091,9.66,3.211987749673047,0.013264554163596173,0.014533898305084747,0.19887017357060527,0.31568315711219685,0.1129253324164646,0.16374195278898449,-0.14423787470535954,-0.04076828874550178,0.14217889478496262,0.04866622412562235,167.0,5.123963979403259,0.4424782041460276,0.4416882274672389,0.8935859364271165,0.286491693854332,9.392661928770137,0,0,0,0,1,0,2.995732273553992,0,0,1,0.002861760150831594,0.6352851786903656
2017,10004,6.142037405587356,5.3042696167073675,3.938,9.667,3.1381144682237423,0.01105379513633014,0.017081896551724138,0.2471253664688373,0.29827056462106444,0.10246496642959907,0.1687259184926329,-0.12984529103203998,-0.060739075383267685,0.15360242571415872,0.050320418915001774,198.0,5.293304824724492,0.4497505761682987,0.4502201806753874,0.9001074224710465,0.2938275948539377,6.684611727667928,0,0,0,0,0,1,2.5649493574615367,0,0,1,0.003905460911723116,0.63809983218407
2012,10005,5.351858133476067,5.12924761542983,2.638,10.0,3.43367993762146,0.012527634487840826,0.012909523809523812,0.20333119822843448,0.32249638793014346,0.12282313624663012,0.15520801349055202,-0.1478306725284022,-0.050701527328318084,0.14722500016218734,0.0395334200447312,1055.0,6.962243464266208,0.4050101469329093,0.4875278389663436,0.8795384616032245,0.4884358981996775,6.5866625688194524,1,0,0,0,0,0,2.3978952727983707,0,0,1,0.03275873678540166,0.683546663010187
2013,10005,5.988961416889862,5.178998777532817,3.2439999999999998,9.242,3.3666024688909197,0.01105379513633014,0.01321105527638191,0.20949492018772808,0.34218850646907434,0.10304402683313993,0.15157575412283664,-0.16294791571600026,-0.07162579724184223,0.1545958513217163,0.04707880810840683,834.0,6.727431724850855,0.4075587695988361,0.4874575390131213,0.8821508619189263,0.4654402206093072,6.562552844842245,0,1,0,0,0,0,2.7080502011022096,0,0,1,0.025318160393239513,0.6804343383098559
2014,10005,6.492239835020473,5.236362172412736,3.02,9.504,3.3149857951149158,0.015475313190862197,0.01260394537177542,0.19434702304956447,0.3636671668893696,0.0923809715531122,0.16744511588073827,-0.1569762264534343,-0.09492912541621293,0.15112827024098588,0.06514778516615842,888.0,6.7900972355139055,0.4097664139408153,0.4855825469712727,0.8839175916463138,0.4411835493892433,6.4450719905421625,0,0,1,0,0,0,2.8903717578961645,0,0,1,0.027136219783179583,0.674756210856567
2015,10005,6.895682697747867,5.186223119009123,2.668,9.746,3.2603930184110905,0.021370670596904937,0.01417933130699088,0.183058817707674,0.3225218947616377,0.10334563761073888,0.1752042523221978,-0.14097640014213028,-0.04203804659252554,0.12358344938320767,0.0782408810581938,901.0,6.804614520062624,0.4115191877062898,0.4815407842979766,0.8847438956052065,0.4180740004032849,5.521460917862246,0,0,0,1,0,0,3.0445224377234235,0,0,1,0.027573900747424416,0.6690531183705508
2016,10005,7.161622002939187,5.125456912043578,2.764,9.838,3.05759836045849,0.01694915254237288,0.01329891304347826,0.15579461402794534,0.350789913569708,0.11691272729919484,0.15240943427584785,-0.17019623604628242,-0.04001029187229575,0.1155707653346428,0.08108317686673783,888.0,6.7900972355139055,0.4127031985844951,0.4749701718683354,0.8845350188761949,0.3985196954756976,6.189290290437902,0,0,0,0,1,0,3.1354942159291497,0,0,1,0.027136219783179583,0.6636370935705107
2017,10005,7.38770923908104,5.163917025068216,3.055,9.917,2.9208619246539516,0.015475313190862197,0.013081114551083592,0.20926990665086093,0.3703704761991001,0.13759481015746394,0.13666428911108305,-0.1648440011352448,-0.10718850718970643,0.11844869763814067,0.040257140768026584,944.0,6.851184927493743,0.4132045542064589,0.4655086307902821,0.8831962065398692,0.3849287462979553,6.561022623945062,0,0,0,0,0,1,2.5649493574615367,0,0,1,0.0290216147060804,0.6582814829431134
2012,10006,4.653960350157523,5.052749253670126,2.019,9.615,3.4441709061348607,0.012527634487840826,0.02098076923076923,0.16168034918463,0.3298663078234173,0.1268539592050589,0.204528999219362,-0.10042031752815074,-0.06683841704984901,0.1382116473603336,0.036217886282274375,1206.0,7.0958932210975325,0.4718161523342133,0.4596109890844673,0.8464358964562416,0.4767252749204636,6.4745155011211155,1,0,0,0,0,0,1.6094379124341005,0,0,1,0.03784256952393778,0.6546226877206043
2013,10006,5.135798437050261,5.015629469084463,2.698,9.65,3.4360846406625964,0.011790714812085485,0.015059171597633137,0.22457848747740305,0.2723145967834359,0.14294875382870084,0.176663208664698,-0.101342800086435,-0.030121188337815564,0.1695006733141782,0.03209332117917306,1136.0,7.036148493750536,0.4723561443388462,0.4597551139304414,0.8664034643769266,0.4704476828873158,6.3436097472303175,0,1,0,0,0,0,2.079441541679836,0,0,1,0.035485825870311766,0.6577528581971052
2014,10006,5.41164605185504,5.270144203864442,2.924,9.986,3.3700753252904256,0.012527634487840826,0.014327354260089685,0.1797527755598116,0.3371968903649816,0.10755938265656408,0.2173509554678549,-0.09249969682162128,-0.09521304177604016,0.1420577146808041,0.014832725086710788,1108.0,7.011213987350367,0.4752684589475393,0.4582683792104945,0.8863772687315941,0.4621104227006436,6.1092475827643655,0,0,1,0,0,0,2.19722457733622,0,0,1,0.034543128408861354,0.6593888966572663
2015,10006,6.280395838960196,5.2157506428910745,2.69,9.887,3.2591062748544783,0.014001473839351507,0.012874296435272044,0.17818802023764288,0.3100334799902664,0.11754727924302025,0.2108847872261482,-0.09247583528758443,-0.05631306402123312,0.12016943482297344,0.05024415614968347,1299.0,7.170119543449628,0.4793937858194113,0.4549283493543044,0.9050326523184776,0.4519432035088539,6.1092475827643655,0,0,0,1,0,0,2.7080502011022096,0,0,1,0.04097367180661235,0.6583073495111225
2016,10006,6.371611847231858,5.202962185731182,3.01,9.867,3.250095701874588,0.011790714812085485,0.01348458904109589,0.19623615003943648,0.35735696877276346,0.11055777973355088,0.18165559221014432,-0.12976224530670769,-0.10680371421143127,0.14066859368991816,0.033318282022016484,1425.0,7.262628600974241,0.4835728169418872,0.4495125899557024,0.9210449615120888,0.4401757341623304,6.1257768847155765,0,0,0,0,1,0,2.772588722239781,0,0,1,0.04521581038313918,0.6563889316610191
2017,10006,6.580639137284948,5.176516896799213,3.525,9.875,3.0563568953704263,0.015475313190862197,0.01712777777777778,0.1941996858156026,0.3344757067537005,0.13127434715338476,0.15938942980731066,-0.14246381251951676,-0.0640858499695601,0.09645309287822798,0.050566871629173324,1551.0,7.3472997007431635,0.4866462424397469,0.4417986659100279,0.9330895391106604,0.4270377242565154,6.1092475827643655,0,0,0,0,0,1,2.302585092994046,0,0,1,0.049457948959666015,0.6531643475755582
2012,10007,4.709530201312334,5.283158042415198,3.073,9.889,3.5532679775360863,0.008843036109064112,0.011072727272727272,0.186322601444342,0.2553280392069031,0.11755215254696932,0.2857921984470026,0.0016197591049462356,-0.05580507796526003,0.12157215306899555,-0.02203218725817085,1745.0,7.465082736399548,0.4730489011562895,0.5072597068501636,0.7809633704274893,0.2743076925724745,6.846887877697152,1,0,0,0,0,0,2.302585092994046,0,0,1,0.055989495656858124,0.606698474607396
2013,10007,5.056245805348309,5.462988228976381,3.917,9.45,3.5810229485705167,0.008106116433308769,0.011102564102564102,0.18309339482146195,0.1829597985443588,0.09307685223384164,0.3702953095870236,0.0915456655222625,-0.020071916502997337,0.09635499605744527,-0.04495809588723082,1781.0,7.485491608030754,0.4715636412729509,0.5035696749109775,0.7828060536831617,0.26418778993189346,7.2114445498997055,0,1,0,0,0,0,2.7080502011022096,0,0,1,0.05720153525015151,0.604359668400586
