word,cat_lev1,cat_lev2,cat_lev3,ndf
information,business,professional_conduct_host,advice,0.00890396948585592
recommendations,business,professional_conduct_host,advice,0.00837454427318341
tips,business,professional_conduct_host,advice,0.00839860905557762
advice,business,professional_conduct_host,advice,0.00756837406297754
suggestions,business,professional_conduct_host,advice,0.00758040645417464
directions,business,professional_conduct_host,advice,0.00682236580875717
instructions,business,professional_conduct_host,advice,0.0064613940728441
useful,business,professional_conduct_host,advice,0.00626887581369045
details,business,professional_conduct_host,advice,0.00559506190665271
info,business,professional_conduct_host,advice,0.00377817083589022
explained,business,professional_conduct_host,advice,0.0037059764887076
communication,business,professional_conduct_host,communication,0.00993875512880675
questions,business,professional_conduct_host,communication,0.00968607491366759
quick,business,professional_conduct_host,communication,0.00948152426331685
quickly,business,professional_conduct_host,communication,0.00797747536367902
communicative,business,professional_conduct_host,communication,0.00672610667918035
communicate,business,professional_conduct_host,communication,0.00617261668411363
respond,business,professional_conduct_host,communication,0.00596806603376289
responded,business,professional_conduct_host,communication,0.00619668146650784
answer,business,professional_conduct_host,communication,0.00536644647390776
answered,business,professional_conduct_host,communication,0.00536644647390776
prompt,business,professional_conduct_host,communication,0.0046084058284903
communicated,business,professional_conduct_host,communication,0.00406694822462068
text,business,professional_conduct_host,communication,0.00364581453272209
request,business,professional_conduct_host,communication,0.00377817083589022
question,business,professional_conduct_host,communication,0.0037059764887076
promptly,business,professional_conduct_host,communication,0.0037059764887076
communicating,business,professional_conduct_host,communication,0.00333297236159742
requests,business,professional_conduct_host,communication,0.0032607780144148
communications,business,professional_conduct_host,communication,0.00265915845455967
answering,business,professional_conduct_host,communication,0.00253883454258865
emails,business,professional_conduct_host,communication,0.00223802476266108
response,business,professional_conduct_host,communication,0.00223802476266108
responding,business,professional_conduct_host,communication,0.00225005715385819
communicator,business,professional_conduct_host,communication,0.00208160367709875
responses,business,professional_conduct_host,communication,0.00200940932991613
concerns,business,professional_conduct_host,communication,0.00188908541794511
responds,business,professional_conduct_host,communication,0.00200940932991613
replied,business,professional_conduct_host,communication,0.00161234042041175
reply,business,professional_conduct_host,communication,0.00173266433238277
queries,business,professional_conduct_host,communication,0.00141982216125811
texts,business,professional_conduct_host,communication,0.00113104477252764
inquiries,business,professional_conduct_host,communication,0.00117917433731605
answers,business,professional_conduct_host,communication,0.00111901238133054
check,business,professional_conduct_host,logistic,0.00977030165204731
provided,business,professional_conduct_host,logistic,0.00980639882563862
arrival,business,professional_conduct_host,logistic,0.009734204478456
arrived,business,professional_conduct_host,logistic,0.00950558904571105
late,business,professional_conduct_host,logistic,0.00885583992106751
offered,business,professional_conduct_host,logistic,0.00700285167671371
keys,business,professional_conduct_host,logistic,0.00623277864009915
hours,business,professional_conduct_host,logistic,0.00612448711932522
key,business,professional_conduct_host,logistic,0.00564319147144112
flight,business,professional_conduct_host,logistic,0.00539051125630196
prepared,business,professional_conduct_host,logistic,0.0055348999506672
reception,business,professional_conduct_host,logistic,0.00484905365243235
checking,business,professional_conduct_host,logistic,0.00522205777954253
checked,business,professional_conduct_host,logistic,0.00492124799961496
departure,business,professional_conduct_host,logistic,0.00498140995560048
waiting,business,professional_conduct_host,logistic,0.00443995235173086
arriving,business,professional_conduct_host,logistic,0.0032367132320206
timely,business,professional_conduct_host,logistic,0.00271932041054519
punctual,business,professional_conduct_host,logistic,0.00245460780420893
checkout,business,professional_conduct_host,logistic,0.00227412193625239
checkin,business,professional_conduct_host,logistic,0.0018529882443538
punctuality,business,professional_conduct_host,logistic,0.000312842171124668
helpful,business,professional_conduct_host,personality_host,0.00999891708479226
welcoming,business,professional_conduct_host,personality_host,0.00993875512880675
available,business,professional_conduct_host,personality_host,0.00991469034641254
accommodating,business,professional_conduct_host,personality_host,0.00983046360803282
welcome,business,professional_conduct_host,personality_host,0.00981843121683572
responsive,business,professional_conduct_host,personality_host,0.00963794534887918
help,business,professional_conduct_host,personality_host,0.00873551600909649
welcomed,business,professional_conduct_host,personality_host,0.00854299774994285
needs,business,professional_conduct_host,personality_host,0.00856706253233705
helped,business,professional_conduct_host,personality_host,0.00818202601402977
flexible,business,professional_conduct_host,personality_host,0.00777292471332828
hospitality,business,professional_conduct_host,personality_host,0.0073999205862181
attentive,business,professional_conduct_host,personality_host,0.00719536993586736
incredibly,business,professional_conduct_host,personality_host,0.00715927276227605
greeted,business,professional_conduct_host,personality_host,0.00637716733446438
ready,business,professional_conduct_host,personality_host,0.00620871385770494
hospitable,business,professional_conduct_host,personality_host,0.00605229277214261
organized,business,professional_conduct_host,personality_host,0.00528221973552804
generous,business,professional_conduct_host,personality_host,0.00524612256193673
